,length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_and,nb_or,nb_eq,nb_underscore,nb_tilde,nb_percent,nb_slash,nb_star,nb_colon,nb_comma,nb_semicolumn,nb_dollar,nb_space,nb_www,nb_com,nb_dslash,http_in_path,https_token,ratio_digits_url,ratio_digits_host,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,path_extension,nb_redirection,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,domain_in_brand,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,ratio_nullHyperlinks,nb_extCSS,ratio_intRedirection,ratio_extRedirection,ratio_intErrors,ratio_extErrors,login_form,external_favicon,links_in_tags,submit_email,ratio_intMedia,ratio_extMedia,sfh,iframe,popup_window,safe_anchor,onmouseover,right_clic,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank
7210,44,14,0,2,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.113636364,0.214285714,0,0,0,0,0,2,0,0,0,0,0,0,4,1,3,3,10,10,5,10,7.0,4.0,10.0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,2429,1953,4365,0,1,3
1127,88,16,0,8,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,1,0,0,1,0.011363636,0.0,0,0,1,0,0,3,0,0,0,0,0,0,12,7,3,3,3,8,8,7,5.5,5.5,5.5,0,0,0,0,0,0,62,0.983870968,0.0161290319999999,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,87.5,0,0,0,1,0,0,23,707,0,0,1,1
4573,88,16,1,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0.25,0.0,0,0,0,0,0,3,1,0,0,0,0,0,8,9,2,3,2,32,8,32,8.75,5.5,9.833333333,2,0,0,0,0,1,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,322,43,0,0,1,0
10591,154,30,1,6,4,1,1,2,0,3,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0.12987013,0.0,0,0,1,0,0,3,0,0,1,0,0,0,22,2,1,10,1,15,15,14,5.5,12.5,4.8,0,0,0,0,0,0,35,0.028571429,0.971428571,0,2,0,0.029411765,0,0.0,0,1,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,1,0,0,184,5660,6032,0,1,6
6323,49,17,0,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,1,0.081632653,0.0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,3,13,3,13,13,8,6.8,13.0,5.25,0,0,0,0,0,0,13,1.0,0.0,0,0,0,0.0,0,0.0,0,0,100.0,0,100.0,0.0,0,0,0,100.0,0,0,0,1,0,0,1078,2573,0,0,1,0
1586,59,23,0,3,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,1,0,0,0,1,0.06779661,0.0,0,0,0,0,0,3,0,0,0,0,1,0,7,4,1,3,1,15,15,8,6.0,9.0,4.8,0,0,0,0,0,0,95,0.8526315790000001,0.147368421,0,1,0,0.0,0,0.428571429,0,1,0.0,0,100.0,0.0,0,0,0,0.0,0,0,0,1,1,0,3328,-1,98797,0,0,4
9667,55,18,0,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0.018181818,0.055555556,0,0,0,0,0,2,0,0,0,0,1,0,6,3,2,3,2,10,10,10,6.333333333,6.5,6.25,0,0,0,0,0,0,123,0.642276423,0.357723577,0,0,0,0.1363636359999999,0,0.0,0,0,100.0,0,0.0,100.0,0,0,0,27.77777778,0,0,0,1,0,0,179,3839,21416,0,1,6
8758,15,4,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0.066666667,0.25,0,0,0,0,0,1,0,0,0,0,4,0,2,0,1,1,3,3,1,3,2.0,1.0,3.0,0,0,0,0,0,0,56,0.0,1.0,0,10,0,0.017857143,0,0.0,0,1,0.0,0,0.0,100.0,0,0,0,0.0,0,0,0,1,1,0,0,-1,0,0,1,4
7169,50,23,0,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,1,0,0,0,3,0,5,3,3,3,5,15,15,7,7.0,9.0,5.666666667,0,0,0,0,0,0,65,0.923076923,0.076923077,0,0,0,0.8,0,0.2,0,0,100.0,0,100.0,0.0,0,0,0,28.57142857,0,0,0,1,1,0,797,6507,6917791,0,1,4
1561,79,19,0,3,1,1,1,0,0,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,1,0.075949367,0.263157895,0,0,1,0,0,3,1,0,0,0,0,0,11,2,2,2,3,11,8,11,5.272727273,4.666666667,5.5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,145,4603,797163,0,1,1
6355,78,69,1,4,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.115384615,0.130434783,0,0,0,0,0,3,0,0,1,0,0,0,6,3,1,1,0,36,36,0,10.0,10.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,0,0,218,5626,0,0,1,5
4392,22,14,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,3,0,7,7,0,5.0,5.0,0.0,0,0,0,0,0,0,144,0.805555556,0.194444444,0,1,0,0.75,0,0.0,0,1,75.0,0,92.85714286,7.142857143,0,0,0,0.0,0,0,0,1,1,0,139,6070,4299575,0,0,2
6914,66,18,0,2,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,9,4,3,3,3,10,10,7,5.0,6.5,4.571428571,0,0,0,0,0,0,104,0.846153846,0.153846154,0,1,0,0.5625,0,0.25,1,1,89.18918919,0,92.85714286,7.142857143,0,0,0,75.0,0,0,0,1,0,0,215,2341,36313,0,0,4
3706,120,21,0,3,4,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,1,1,0,0,1,0.0,0.0,0,0,0,0,0,3,0,0,0,0,0,0,12,3,3,3,3,13,13,10,8.083333332999999,8.0,8.1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,1,1,1,0,0,-1,37568,0,0,5
6832,29,16,0,2,0,0,0,0,0,1,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,5,1,6,6,1,4.0,5.5,1.0,0,1,0,0,0,0,22,0.636363636,0.363636364,0,1,0,0.0,0,0.0,0,1,50.0,0,0.0,0.0,0,0,0,50.0,0,0,0,1,0,0,1048,5160,0,0,0,8
